City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,lichinga,-13.3128,35.2406,17.05,72,40,3.6,MZ,1691514277
136,wailua homesteads,22.0669,-159.378,26.44,82,100,8.23,US,1691514278
137,san luis de la loma,17.2706,-100.8939,32.11,61,0,3.74,MX,1691514279
138,refojos de basto,41.5132,-7.9952,36.68,21,0,4.16,PT,1691514280
139,saint-pierre,-21.3393,55.4781,20.82,78,0,2.57,RE,1691514281
140,sao joao da barra,-21.6403,-41.0511,25.05,67,8,9.3,BR,1691514246
141,nuuk,64.1835,-51.7216,8.34,81,20,3.58,GL,1691514283
142,isafjordur,66.0755,-23.124,12.02,62,20,4.12,IS,1691514284
143,boyolangu,-8.1181,111.8935,21.39,93,38,1.22,ID,1691514285
144,ushuaia,-54.8,-68.3,3.81,81,0,1.54,AR,1691513979
145,berdigestyakh,62.0989,126.6992,10.89,65,14,2.26,RU,1691514287
146,ngozi,-2.9075,29.8306,19.14,50,79,1.99,BI,1691514289
147,mlandizi,-6.7,38.7333,23.69,72,62,3.46,TZ,1691514289
148,hamilton,39.1834,-84.5333,27.77,59,39,0.89,US,1691513999
149,lorengau,-2.0226,147.2712,27.06,81,59,4.8,PG,1691514292
150,kendari,-3.945,122.4989,22.59,93,95,1.54,ID,1691514293
151,ceeldheer,3.8488,47.1806,24.61,81,47,9.65,SO,1691514294
152,arraial do cabo,-22.9661,-42.0278,23.92,78,75,6.17,BR,1691514073
153,jalalabad,34.4265,70.4515,34.5,34,0,2.8,AF,1691514297
154,uyuni,-20.4597,-66.825,11.21,24,0,7.4,BO,1691514298
155,puerto ayora,-0.7393,-90.3518,28.98,85,98,3.58,EC,1691514299
156,san antonio de pale,-1.4014,5.6325,23.4,75,27,5.06,GQ,1691514076
157,saldanha,-33.0117,17.9442,15.03,77,0,10.2,ZA,1691514301
158,walvis bay,-22.9575,14.5053,27.53,28,0,3.6,NA,1691514302
159,taulaga,-11.0553,-171.0883,27.88,70,86,6.23,AS,1691514304
160,atafu village,-8.5421,-172.5159,27.74,76,56,5.54,TK,1691514305
161,qaqortoq,60.7167,-46.0333,6.83,76,1,3.39,GL,1691514306
162,holualoa,19.6228,-155.9522,23.91,84,40,4.12,US,1691514309
163,shendi,16.6915,33.4341,33.84,40,59,7.92,SD,1691514310
164,barclayville,4.6797,-8.2339,25.36,85,88,4.72,LR,1691514312
165,phan rang-thap cham,11.5667,108.9833,26.6,74,2,2.59,VN,1691514314
166,baoro,5.6667,15.9667,20.17,97,99,2.28,CF,1691514315
167,coquimbo,-29.9533,-71.3436,17.85,72,40,3.6,CL,1691514035
168,new plymouth,-39.0667,174.0833,7.12,69,13,3.33,NZ,1691514319
169,ancud,-41.8697,-73.8203,9.36,94,100,2.69,CL,1691514321
170,keflavik,64.0049,-22.5624,13.95,82,40,4.63,IS,1691514322
171,usinsk,65.9939,57.5281,15.16,67,80,4.61,RU,1691514323
172,tayoltita,24.0833,-105.9333,30.05,55,8,2.13,MX,1691514324
173,lazaro cardenas,17.9583,-102.2,32.07,63,23,1.96,MX,1691514325
174,murashi,59.3999,48.9615,15.92,87,2,1.93,RU,1691514326
175,port saint john's,-31.6229,29.5448,18.84,76,47,7.79,ZA,1691514327
176,lockwood,45.8191,-108.4149,24.55,52,20,2.57,US,1691514332
177,annandale,38.8304,-77.1964,28.24,55,20,6.69,US,1691514333
178,lihue,21.9789,-159.3672,26.77,77,100,8.23,US,1691514334
179,jennings,38.7192,-90.2604,29.43,62,40,4.12,US,1691514335
180,cotati,38.3269,-122.7072,20.42,73,100,1.79,US,1691514336
181,pisco,-13.7,-76.2167,21.03,68,0,5.14,PE,1691514287
182,al hawatah,13.4167,34.6333,27.82,64,9,3.25,SD,1691514338
183,baharly,38.4362,57.4316,35.13,17,0,2.06,TM,1691514339
184,smithers,54.7804,-127.1743,14.18,88,100,2.06,CA,1691514340
185,pudozh,61.8099,36.5345,22.57,61,2,3.26,RU,1691514341
186,fuglafjordur,62.244,-6.814,8.26,75,100,11.73,FO,1691514342
187,crane,31.3974,-102.3501,34.37,29,94,4.72,US,1691514343
188,guerrero negro,27.9769,-114.0611,27.68,66,37,4.56,MX,1691514344
189,touros,-5.1989,-35.4608,26.33,76,37,7.95,BR,1691514064
190,ridder,50.355,83.5133,14.35,65,55,1.4,KZ,1691514345
191,kailua-kona,19.6406,-155.9956,25.98,84,40,4.12,US,1691514346
192,mount gambier,-37.8333,140.7667,6.0,79,17,3.81,AU,1691514347
193,santana,-0.0583,-51.1817,33.1,58,40,4.12,BR,1691514348
194,saynshand,44.8824,110.1163,22.73,48,4,5.74,MN,1691514349
195,karyes,37.3,22.5,24.0,50,19,1.67,GR,1691514350
196,ghardaia,32.4909,3.6735,39.64,10,0,3.09,DZ,1691514351
197,hermanus,-34.4187,19.2345,13.22,76,55,5.44,ZA,1691514352
198,goz beida,13.95,20.55,28.91,62,81,3.57,TD,1691514353
199,west bay,19.3667,-81.4167,34.04,72,20,5.14,KY,1691514354
200,mishkino,55.3389,63.9175,19.46,59,100,2.84,RU,1691514355
201,jinxiang,27.4327,120.6062,26.79,90,68,1.46,CN,1691514355
202,polyarnyy,69.1989,33.4478,22.04,72,0,3.84,RU,1691514356
203,pecos,31.4229,-103.4932,34.02,37,0,0.0,US,1691513917
204,anadyr,64.75,177.4833,9.28,81,40,5.0,RU,1691514359
205,bogorodskoye,56.55,37.8833,21.18,83,88,2.74,RU,1691514360
206,armidale,-30.5167,151.65,2.21,97,3,1.61,AU,1691514361
207,syktyvkar,61.6764,50.8099,16.85,82,0,2.0,RU,1691514363
208,baukau,51.5526,7.2042,19.87,57,83,2.68,DE,1691514364
209,taoudenni,22.6783,-3.9836,46.16,6,3,6.49,ML,1691514365
210,itambacuri,-18.0311,-41.685,32.18,24,0,3.78,BR,1691514366
211,lake jackson,29.0339,-95.4344,36.19,56,20,5.14,US,1691514220
212,galesong,-5.3166,119.3661,23.01,76,65,3.67,ID,1691514368
213,vernon,50.2581,-119.2691,24.78,49,100,2.24,CA,1691514089
214,klyuchi,52.2667,79.1667,20.77,41,36,0.46,RU,1691514370
215,kolonia,50.9333,6.95,19.98,63,20,7.72,DE,1691514249
216,howard springs,-12.497,131.047,23.95,82,23,2.53,AU,1691514372
217,akobo,7.4344,3.9497,24.97,84,58,2.99,NG,1691514373
218,daru,-9.0763,143.2092,24.2,78,100,7.18,PG,1691514374
219,siwa oasis,29.2041,25.5195,35.44,26,0,4.12,EG,1691514375
220,weno,7.4515,151.8468,27.97,83,100,1.54,FM,1691514376
221,san patricio,28.017,-97.5169,36.15,39,0,6.46,US,1691514377
222,kopargaon,19.8833,74.4833,24.66,78,92,4.87,IN,1691514378
223,yarmouth,41.7057,-70.2286,25.36,96,100,3.6,US,1691514379
224,lerwick,60.1545,-1.1494,11.0,76,100,13.3,GB,1691514380
225,swift current,50.2834,-107.8014,18.45,68,0,4.12,CA,1691514099
226,labasa,-16.4167,179.3833,22.23,89,9,1.85,FJ,1691514382
227,grivenskaya,45.6473,38.176,26.87,48,1,4.4,RU,1691514383
